име,град,congruence-score,congruence-verdict,congruence-max-time,range-score,range-verdict,range-max-time,strip-score,strip-verdict,strip-max-time,точки
BIG,София,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,201.1437908496732
GGS,София,0,Compilation error,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.256,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,200.0
MOB,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.375,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,200.0
KGE,София,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.039,11.11111111111111,RE RE RE OK OK RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,193.46405228758167
GTA,Варна,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.049,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,185.94771241830065
DDHM,Варна,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.284,0,Compilation error,N/A,182.35294117647055
KAM,София,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.244,11.11111111111111,TL TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,181.69934640522874
EEB,София,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.28,11.11111111111111,RE RE RE OK OK TL TL TL RE TL TL RE RE RE TL RE TL TL,N/A,181.69934640522874
VBZ,Пловдив,41.1764705882353,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.208,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,180.06535947712416
LDT,София,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,8.333333333333334,OK TL TL TL TL TL TL TL TL TL TL TL,N/A,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,178.921568627451
NCC,София,11.764705882352942,OK OK RE RE RE RE RE TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.242,61.11111111111112,OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,172.87581699346404
BDD,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,72.22222222222223,OK OK OK OK OK OK OK OK OK OK WA OK OK WA WA WA OK WA,0.009,165.359477124183
