име,град,alt-score,alt-verdict,alt-max-time,m3-score,m3-verdict,m3-max-time,power-score,power-verdict,power-max-time,точки
KAD,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,25.55555555555555,WA WA WA WA WA OK WA OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA OK WA WA WA WA OK OK OK WA WA OK WA WA WA WA WA WA OK WA WA WA OK OK OK WA OK WA WA WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA OK WA WA OK WA WA WA,0.005,31.578947368421055,OK OK WA WA WA OK WA WA WA OK WA WA WA WA WA WA OK WA OK,0.009,157.13450292397658
EIR,Габрово,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,94.44444444444461,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.006,57.89473684210527,OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA,0.005,152.3391812865499
KKT,Варна,53.84615384615385,OK OK OK OK OK OK WA OK WA WA WA WA WA,0.006,77.7777777777779,OK WA OK WA OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK WA WA WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA OK OK OK OK OK OK OK OK OK OK WA WA WA OK OK WA OK OK WA OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.021,15.789473684210527,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA OK,0.005,147.41340530814227
DMK,Варна,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,46.6666666666667,WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA OK OK WA OK WA WA OK WA WA WA WA OK WA WA OK OK WA WA WA WA WA WA OK OK WA OK OK WA WA WA,0.006,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,146.66666666666674
DPK,Габрово,15.384615384615385,WA OK OK TL TL TL TL TL TL TL TL TL TL,N/A,94.44444444444461,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK,0.005,31.578947368421055,WA OK OK WA OK OK OK OK TL TL WA TL TL TL TL TL TL TL TL,N/A,141.40800719748106
MIK,Шумен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,31.578947368421055,OK OK OK WA OK OK OK TL TL TL WA TL TL TL TL TL TL TL TL,N/A,131.57894736842104
MBD,София,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,96.66666666666684,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,31.578947368421055,OK OK OK WA OK OK OK WA WA WA WA WA WA TL TL WA WA TL WA,N/A,128.2456140350879
MGM,Пловдив,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,97.77777777777796,OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,5.2631578947368425,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,126.11785874943789
YPV,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,21.05263157894737,OK WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA OK WA OK,0.009,121.05263157894737
GIB,София,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,86.66666666666681,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA WA WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK WA OK OK OK OK OK OK OK WA OK OK WA OK OK OK OK,0.006,10.526315789473685,OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,120.26990553306358
MVK,Пловдив,15.384615384615385,WA OK OK TL TL TL TL TL TL TL TL TL TL,N/A,76.66666666666679,OK WA OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK WA OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK WA OK OK WA WA WA WA WA OK OK OK OK OK OK OK OK OK WA OK OK WA WA OK OK WA OK OK OK OK WA OK OK OK OK OK WA OK WA WA OK OK,0.005,26.315789473684212,WA WA WA OK WA WA WA WA WA WA OK WA OK WA WA WA OK WA OK,0.005,118.36707152496638
