Име,Град,Cred,Odd,Sequence,Точки
PHP,Добрич,5.882352941176471,0.0,0,5.882352941176471
SGG,Пловдив,0.0,0.0,5.882352941176471,5.882352941176471
VIK,Шумен,0.0,0.0,0.0,0.0
BVA,Бургас,0,0.0,0,0.0
PPM,Русе,0.0,0.0,0.0,0.0
PND,Варна,0.0,0,0.0,0.0
PLR,Русе,0,0,0,0
APG,Плевен,0,0,0,0
NNN,Варна,0.0,0.0,0.0,0.0
GMS,Варна,0.0,0.0,0,0.0
GMM,Плевен,0.0,0.0,0.0,0.0
AAV,Пловдив,0.0,0.0,0.0,0.0
ABN,Плевен,0.0,0.0,0.0,0.0
IKB,Габрово,0,0,0,0
PPK,Велико Търново,0.0,0.0,0.0,0.0
VAC,София,0.0,0.0,0.0,0.0
VRD,Плевен,0.0,0.0,0.0,0.0
HHH,Шумен,0,0.0,0.0,0.0
RSB,Стара Загора,0.0,0.0,0.0,0.0
AIK,София,0,0,0,0
ZNP,Варна,0.0,0.0,0,0.0
DNV,Пловдив,0.0,0,0,0.0
MGT,Плевен,0.0,0.0,0.0,0.0
AAB,София,0.0,0,0.0,0.0
SVV,Плевен,0.0,0.0,0.0,0.0
KMK,Плевен,0,0.0,0.0,0.0
IIM,София,0.0,0.0,0.0,0.0
VYG,Добрич,0,0,0,0
MEN,София,0.0,0,0.0,0.0
MSP,София,0.0,0.0,0,0.0
KYS,Ямбол,0.0,0.0,0.0,0.0
NBR,София,0.0,0.0,0.0,0.0
SAS,София,0.0,0.0,0.0,0.0
VKN,Русе,0,0.0,0,0.0
VNP,Шумен,0,0,0,0
VSS,Пловдив,0.0,0.0,0,0.0
DSN,Бургас,0.0,0,0.0,0.0
AMS,Велико Търново,0,0.0,0,0.0
