име,град,long-score,long-verdict,long-max-time,sdnf-score,sdnf-verdict,sdnf-max-time,solitaire-score,solitaire-verdict,solitaire-max-time,точки
VBM,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,25.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA OK OK,0.008,82.27272727272728
SYD,София,9.090909090909092,WA OK WA TL WA TL TL TL WA TL TL,N/A,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,56.25,OK OK OK OK OK TL OK TL TL TL TL OK OK TL TL OK,N/A,80.3409090909091
OYM,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,18.75,RE WA WA WA RE WA RE WA WA WA WA OK RE WA OK OK,N/A,76.02272727272728
MGM,Пловдив,18.181818181818183,OK OK TL TL TL TL TL TL TL TL TL,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,56.25,OK OK OK OK OK TL OK TL TL TL TL OK OK TL TL OK,N/A,74.43181818181819
YCH,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.007,25.0,OK OK OK OK OK WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,18.75,WA OK WA WA WA WA OK WA WA WA WA OK WA WA WA WA,0.006,71.02272727272728
DMK,Варна,18.181818181818183,OK OK WA RE RE RE TL TL TL TL TL,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,18.75,TL WA WA WA TL WA TL WA WA WA WA OK TL WA OK OK,N/A,66.93181818181819
SPD,Пазарджик,36.36363636363637,OK OK OK OK WA WA WA WA WA WA WA,0.004,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,66.36363636363637
GTK,Пловдив,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,6.25,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.026,63.52272727272727
EEB,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.003,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,6.25,WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.006,63.52272727272727
MPM,Стара Загора,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.002,0,Compilation error,N/A,57.27272727272727
VGN,Варна,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.002,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,57.27272727272727
MSK,Ямбол,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.008,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.013,57.27272727272727
VSS,Русе,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.006,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,57.27272727272727
AVT,Плевен,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.008,57.27272727272727
VAK,Пловдив,27.272727272727273,OK OK OK TL WA WA RE RE RE RE RE,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,57.27272727272727
NTC,София,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,57.27272727272727
TCT,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.006,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,57.27272727272727
