име,град,bin0-score,bin0-verdict,bin0-max-time,palc-score,palc-verdict,palc-max-time,rot-score,rot-verdict,rot-max-time,точки
GDG,Габрово,15.0,OK OK OK TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,50.0,WA OK WA OK WA OK OK OK WA WA WA WA OK OK OK WA OK WA OK WA,0.006,65.0
BEV,Плевен,30.0,TL RE RE RE RE RE OK OK OK OK OK OK TL RE RE RE RE RE RE RE,N/A,25.0,OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.012,55.0
LBS,Бургас,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,55.0,WA OK WA OK WA OK OK OK WA WA WA WA OK OK OK WA OK OK OK WA,0.006,55.0
NBN,София,30.0,OK OK OK OK OK OK TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,20.0,OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,50.0
YVL,София,30.0,WA TL TL WA TL WA OK OK OK OK OK OK WA TL WA TL WA TL TL TL,N/A,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA,0.006,40.0
KCS,Русе,30.0,OK OK OK TL TL TL OK OK OK WA WA WA TL TL TL TL TL TL TL TL,N/A,5.0,OK WA WA WA WA WA WA WA WA RE WA WA WA WA WA WA WA WA WA RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,35.0
VGV,Шумен,15.0,OK OK OK TL TL TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.074,0.0,TL TL TL TL TL TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,35.0
ANK,Варна,35.0,WA WA OK WA WA WA OK OK OK OK OK OK WA WA WA WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,35.0
IPK,Бургас,35.0,OK OK OK WA TL WA OK OK OK OK WA WA WA WA WA WA WA WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,35.0
GGA,София,30.0,OK OK OK TL WA TL OK OK RE OK WA WA WA TL TL TL TL WA TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,30.0
GMM,Стара Загора,5.0,OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,25.0,OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,30.0
SYI,Велико Търново,25.0,OK OK OK TL TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0,Compilation error,N/A,25.0
KRH,Варна,20.0,WA WA WA WA WA WA WA OK OK WA OK OK WA WA WA WA WA WA WA WA,0.006,0,Compilation error,N/A,0,Compilation error,N/A,20.0
ADD,Перник,15.0,OK OK OK WA WA WA TL TL TL TL TL TL WA WA WA TL WA WA TL TL,N/A,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL RE RE TL TL TL RE RE TL RE RE RE RE RE RE RE RE,N/A,15.0
GAK,Варна,15.0,OK OK OK WA TL WA TL TL TL TL TL TL WA TL WA TL WA TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,TL TL TL TL TL TL WA WA TL TL TL TL TL WA TL TL WA TL TL WA,N/A,15.0
GDS,Варна,15.0,OK OK OK TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,15.0
IAK,Велико Търново,15.0,OK OK OK WA WA WA TL TL TL TL TL TL WA WA WA TL WA WA TL TL,N/A,0,Compilation error,N/A,0.0,TL TL TL TL TL TL WA WA TL TL TL TL TL WA TL TL WA TL TL WA,N/A,15.0
HEB,Хасково,15.0,OK OK OK TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,15.0
NNT,Кюстендил,15.0,OK OK OK WA WA WA TL TL TL TL TL TL WA WA WA TL WA WA TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,15.0
KVP,София,15.0,OK OK OK TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,15.0
HKH,Варна,15.0,OK OK OK TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,15.0
GVR,Плевен,15.0,OK OK OK TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,TL TL TL TL TL TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,15.0
MDK,Варна,15.0,OK OK OK WA WA WA TL TL TL TL TL TL WA WA WA TL WA WA TL TL,N/A,0.0,WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE WA RE WA RE RE WA,N/A,15.0
TSD,Бургас,15.0,OK OK OK TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL,N/A,15.0
SBG,Кюстендил,15.0,OK OK OK TL TL TL TL TL RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0,Compilation error,N/A,15.0
DKV,Плевен,15.0,OK OK OK WA WA WA TL TL TL TL TL TL WA WA WA TL WA WA TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,TL TL TL TL TL TL RE RE TL TL TL TL TL TL RE RE RE TL TL RE,N/A,15.0
VDG,Кюстендил,0.0,TL WA TL WA WA WA TL TL TL TL TL TL WA WA WA TL WA WA TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0.0
NKN,Варна,0.0,WA WA WA TL WA TL WA WA WA WA WA WA WA WA TL WA TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0
ZBB,София,0.0,WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
BPV,Плевен,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
AVB,Велико Търново,0.0,RE RE RE RE RE RE RE RE RE WA WA WA WA WA WA WA WA RE RE RE,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0.0
DIM,Варна,0.0,WA WA WA WA WA WA WA WA TL TL TL TL WA WA WA TL WA WA TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
