име,град,cred-score,cred-verdict,cred-max-time,odd-score,odd-verdict,odd-max-time,sequence-score,sequence-verdict,sequence-max-time,точки
AIH,София,82.35294117647058,OK WA WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,30.76923076923077,OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.091,113.12217194570135
NHI,Шумен,23.529411764705884,WA WA OK OK WA OK WA WA WA WA WA WA WA OK WA WA WA,0.006,30.76923076923077,OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,47.05882352941177,OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA,0.005,101.35746606334843
SMM2,Варна,0,Compilation error,N/A,0,Compilation error,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997
DAR,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.025,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997
DMS,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.022,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997
KDS,Пловдив,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997
MPA,Враца,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA TL TL TL TL TL RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,99.99999999999997
KVN,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997
KII,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997
RGL,Варна,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997
