име,град,eksk-score,eksk-verdict,eksk-max-time,estet-score,estet-verdict,estet-max-time,restruct-score,restruct-verdict,restruct-max-time,точки
KCC,Варна,17.5,OK OK OK OK OK WA WA WA WA WA WA WA WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.157,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.025,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,17.5
IVB,София,5.0,OK RE RE RE WA OK RE WA WA WA WA WA WA WA WA WA RE WA WA WA WA WA TL TL WA TL WA WA WA TL WA TL TL TL TL TL TL WA WA TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,11.11111111111111,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.412,16.11111111111111
KKI,Пловдив,10.0,WA WA WA OK OK WA WA WA WA WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.128,4.3478260869565215,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.03,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,14.347826086956522
IKK,Враца,12.5,OK OK WA WA WA WA WA OK WA WA WA WA WA OK OK WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,12.5
YMZ,София,10.0,WA WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.117,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,10.0
RNK,Варна,10.0,WA OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.125,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.036,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,10.0
TTG,Габрово,0,Compilation error,N/A,0.0,WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.555555555555555,OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.555555555555555
NGK,Ловеч,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
ATB,Пловдив,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
NMN,Ловеч,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
