име,град,number-score,number-verdict,number-max-time,sdiv-score,sdiv-verdict,sdiv-max-time,stories-score,stories-verdict,stories-max-time,точки
NKN,Плевен,10.0,OK OK TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,10.0
IMZ,Смолян,10.0,TL TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL,N/A,10.0
DNT,София,10.0,WA WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0,RE WA RE WA WA WA RE RE WA RE RE RE RE RE RE RE RE RE RE RE,N/A,10.0
ADD,Перник,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,0.0
MMP,Плевен,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0
MEC,Враца,0.0,RE RE RE RE RE WA RE RE WA WA WA WA WA WA WA RE WA WA WA WA,N/A,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0
AIV,София,0.0,WA WA WA WA WA WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
HVH,Плевен,0.0,TL TL TL TL TL TL TL TL RE RE RE RE RE RE RE TL TL RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.089,0.0
DPB,Русе,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VAP,София,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,RE RE RE RE RE RE RE RE RE RE TL TL TL TL TL TL TL TL TL TL,N/A,0.0
