name,city,korridor-score,korridor-verdict,korridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,score
ZBB,Sofia,0,Compilation error,N/A,60.0,OK OK OK OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL,N/A,20.0,OK OK WA OK OK WA WA WA WA WA WA WA WA OK TL WA WA WA WA WA WA WA WA WA WA,N/A,80.0
EBK,Blagoevgrad,0,Compilation error,N/A,35.0,OK OK WA WA OK WA OK WA OK WA OK WA WA OK WA WA WA WA WA WA,0.066,44.0,OK OK OK OK WA OK OK WA WA WA WA WA WA OK OK OK OK OK WA WA WA WA WA WA WA,0.226,79.0
SCC,Sofia,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.156,76.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK WA WA WA WA WA,0.016,76.0
HEB,Haskovo,0,Compilation error,N/A,15.0,WA OK WA WA WA WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA,0.446,60.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK OK TL TL TL TL TL TL TL,N/A,75.0
PVD,Gabrovo,0,Compilation error,N/A,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,0,Compilation error,N/A,75.0
NMM,Varna,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL WA TL WA TL TL TL TL TL TL TL,N/A,72.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK TL OK OK OK OK OK WA WA WA WA WA,N/A,72.0
BKM,Sofia,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA TL TL TL,N/A,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,61.0
LBS,Burgas,0,Compilation error,N/A,0,Compilation error,N/A,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,56.0
BPA,Sofia,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL,N/A,52.0,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL OK OK TL TL TL TL TL TL TL TL,N/A,52.0
VKK,Burgas,0,Compilation error,N/A,50.0,OK OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL TL,N/A,50.0
GGA,Sofia,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.043,36.0,OK OK WA OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK WA WA WA WA WA WA WA,0.663,36.0
