name,city,number-score,number-verdict,number-max-time,sdiv-score,sdiv-verdict,sdiv-max-time,stories-score,stories-verdict,stories-max-time,score
GSS,Burgas,15.0,OK OK OK TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,3.3333333333333335,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,113.33333333333333
SYI,VTarnovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,113.33333333333333
GIG,Ruse,15.0,OK OK OK TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,105.0
KAB,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,13.333333333333334,OK OK WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.126,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,103.33333333333333
IMM,Plovdiv,70.0,OK OK OK OK OK OK OK OK WA OK WA OK WA OK WA OK WA OK WA OK,0.046,29.999999999999996,OK OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA WA OK WA WA WA WA,0.293,0,Compilation error,N/A,100.0
VLV,Plovdiv,10.0,OK OK TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,100.0
GPP,StaraZagora,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,98.33333333333333
HCM,Sofia,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.083,20.0,OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL WA TL TL,N/A,90.0
TTG,StaraZagora,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,20.0,OK OK OK OK OK WA OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,85.0
GTY,Sofia,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,3.3333333333333335,WA WA OK WA WA TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK OK OK OK OK OK OK WA OK WA TL TL TL TL TL TL TL OK OK TL,N/A,83.33333333333334
