name,city,bio-score,bio-verdict,bio-max-time,degrees-score,degrees-verdict,degrees-max-time,dentist-score,dentist-verdict,dentist-max-time,score
IIN,Plovdiv,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,30.0,OK OK OK WA WA WA WA WA WA WA,0.003,60.0
TGM,Sofia,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,30.0,OK OK OK WA WA WA WA WA WA WA,0.003,60.0
DPK,Gabrovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,55.0,OK OK OK OK OK WA WA WA WA WA OK OK OK OK WA WA WA OK OK WA,0.019,0,Compilation error,N/A,55.0
ANZ,Sofia,0,Compilation error,N/A,35.0,OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.016,20.0,OK WA OK WA WA WA WA WA WA WA,0.003,55.0
VVR,Varna,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,35.0,OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.019,0,Compilation error,N/A,45.0
FAA,Haskovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,40.0,OK OK OK OK OK OK TL TL WA TL OK TL TL TL TL TL TL OK TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,40.0
BVE,Kardjali,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,35.0,OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,35.0
MII,Pleven,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,35.0
AGG,Plovdiv,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,35.0
MAP,Varna,5.0,WA TL TL TL OK TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,30.0
HDS,Shumen,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,30.0,OK OK OK WA WA WA WA WA WA WA,0.003,30.0
TTK,Ruse,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA TL TL TL OK TL WA TL TL TL TL WA WA TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,25.0
TKP,Varna,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,25.0
LKK,Sofia,0,Compilation error,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,25.0
VYK,Haskovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,25.0
ZSK,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,15.0,WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,10.0,OK WA WA WA WA WA WA WA WA WA,0.003,25.0
YBE,Pleven,0,Compilation error,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,25.0
IDB,Plovdiv,0.0,TL TL TL WA TL TL TL TL TL TL TL WA TL TL TL WA TL TL TL TL,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,25.0
TGS,Varna,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.053,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,25.0
DRP,Sofia,0,Compilation error,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,25.0
EIS,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,25.0
EIR,Gabrovo,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,20.0,OK WA OK WA WA WA WA WA WA WA,0.003,20.0
DRK,Varna,0,Compilation error,N/A,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,20.0
DMM,Kardjali,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,20.0,OK OK OK OK WA TL TL TL TL TL WA TL TL TL TL TL TL WA TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.006,20.0
SIGG,Varna,0,Compilation error,N/A,0,Compilation error,N/A,20.0,OK WA WA WA WA WA WA WA WA OK,0.003,20.0
SPV,Varna,5.0,OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,10.0,TL OK OK TL WA TL WA TL TL TL TL TL TL TL WA TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,15.0
IIZ,Plovdiv,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,10.0
EED,Plovdiv,0,Compilation error,N/A,10.0,WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,10.0
MPA,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,10.0,WA WA OK WA WA WA WA WA WA WA,0.003,10.0
SIS,Varna,0.0,TL TL TL WA TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA TL TL TL WA TL WA TL TL TL TL WA WA TL,N/A,10.0,WA WA OK WA WA WA WA WA WA WA,0.003,10.0
VGB,Plovdiv,0,Compilation error,N/A,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,5.0
SBI,Gabrovo,0,Compilation error,N/A,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,5.0
DNN,StaraZagora,5.0,TL TL TL WA WA TL TL TL TL TL TL TL WA TL TL OK TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,5.0
MZD,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA TL WA TL WA TL WA TL WA WA WA WA WA WA TL WA WA WA,N/A,0,Compilation error,N/A,0.0
