име,град,color-score,color-verdict,color-max-time,subsums-score,subsums-verdict,subsums-max-time,traffic-score,traffic-verdict,traffic-max-time,точки
AAM1,Пловдив,20.0,OK WA OK WA WA WA WA WA WA WA OK WA OK WA RE WA RE RE RE RE,N/A,5.0,WA OK WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,12.0,OK OK TL OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,37.0
DTK,Смолян,25.0,OK WA OK WA OK WA WA WA WA WA OK WA OK WA TL TL TL TL TL TL,N/A,5.0,WA WA WA WA WA WA WA WA OK WA WA TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA TL WA WA WA WA TL WA WA TL TL WA TL TL TL TL TL WA TL TL TL TL TL WA TL TL WA TL TL WA TL TL TL TL TL TL TL TL TL WA WA TL TL TL TL TL TL TL TL,N/A,30.0
TTG,Габрово,5.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL,N/A,15.0,WA OK WA WA WA WA WA WA OK WA WA WA TL WA TL TL OK TL TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.049,20.0
MGM,Велико Търново,10.0,OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.199,5.0,WA WA WA OK TL TL TL TL TL TL TL TL TL TL TL TL WA TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,15.0
IBB,Шумен,0,Compilation error,N/A,10.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA,0.019,0,Compilation error,N/A,10.0
FIM,София,10.0,OK WA OK WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,10.0
SDK,София,10.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.283,0.0,WA WA WA RE WA WA RE WA WA WA RE WA WA RE WA WA WA WA RE WA,N/A,0,Compilation error,N/A,10.0
KTK,София,10.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.153,0.0,WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,10.0
BNS,Смолян,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0,WA WA WA WA WA WA WA WA OK WA WA WA TL TL TL TL TL TL TL WA,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.0
DDG,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0,WA OK WA WA WA WA WA WA WA TL TL TL TL RE TL RE RE RE TL RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,5.0
VMS,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
AST,София,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
YBI,София,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
