name,city,cards-score,cards-verdict,cards-max-time,game-score,game-verdict,game-max-time,palindromes-score,palindromes-verdict,palindromes-max-time,score
VLA,Pleven,20.0,OK OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.106,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,120.0
BCS,Shumen,60.0,OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA WA WA,0.109,60.0,OK OK WA OK OK OK OK WA OK OK WA TL WA OK WA WA WA OK OK OK WA OK OK TL OK,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,120.0
DND,Sofia,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,12.0,WA OK WA WA WA WA OK WA WA WA WA TL WA WA WA WA WA WA WA WA WA OK WA TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.026,112.0
AIP,Ruse,80.0,WA WA OK OK OK OK OK WA OK OK WA OK OK OK OK OK OK OK OK OK,0.116,12.0,WA WA WA WA WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA,0.003,5.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,97.0
DLI,Sofia,15.0,WA OK OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.079,72.0,OK OK OK OK OK OK OK OK OK OK WA OK WA WA WA WA WA OK OK OK OK OK OK WA OK,0.003,5.0,OK WA WA WA TL WA WA WA WA WA WA WA WA TL TL WA WA WA TL WA,N/A,92.0
VSD,Kardjali,20.0,WA OK OK WA OK WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA,0.113,52.0,OK OK OK OK OK WA OK WA OK WA WA TL WA WA WA WA WA WA OK OK OK OK OK TL OK,N/A,20.0,WA WA WA WA OK WA WA WA WA OK OK WA OK WA WA WA WA WA WA WA,0.023,92.0
ENC,Varna,25.0,OK OK OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.116,60.0,OK OK WA OK OK OK OK WA OK OK WA WA WA OK WA WA WA OK OK OK WA OK OK WA OK,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,85.0
NRD,Varna,80.0,WA WA OK OK OK OK OK WA OK OK WA OK OK OK OK OK OK OK OK OK,0.113,4.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,84.0
APD,Sofia,20.0,OK OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.116,60.0,OK OK WA OK OK OK OK WA OK OK WA TL WA OK WA WA WA OK OK OK WA OK OK TL OK,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,80.0
TII,Dobrich,0,Compilation error,N/A,64.0,OK OK WA OK OK OK OK WA OK OK WA OK WA WA WA WA WA OK OK OK WA OK OK OK OK,0.003,15.0,OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,79.0
VNM,Varna,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL,N/A,76.0,OK OK OK OK OK OK OK OK OK OK OK TL WA OK WA TL TL OK OK OK OK OK OK TL OK,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,76.0
MKA,Sofia,20.0,WA WA OK WA OK WA OK WA OK WA WA WA WA WA WA TL TL TL TL TL,N/A,44.0,OK OK OK OK OK WA OK WA OK WA WA TL WA WA WA WA WA WA WA WA OK OK OK TL OK,N/A,0,Compilation error,N/A,64.0
PSK,Varna,10.0,WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.106,28.0,WA WA OK WA WA WA WA OK WA WA WA OK OK WA OK OK WA WA OK WA WA WA WA WA WA,0.003,15.0,OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.053,53.0
NDD,Shumen,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.096,36.0,WA WA OK WA WA WA OK OK OK OK OK TL WA OK WA WA WA OK WA WA WA WA OK TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,41.0
KZP,Plovdiv,15.0,WA OK OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.113,24.0,WA WA WA WA OK WA WA WA OK WA WA WA WA WA OK OK WA WA WA WA OK WA WA OK WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,39.0
